SiteID,forest_species_richness,forest_species_richness_long,forest_species_richness_resid,forest_species_richness_short,temp.mean.year,snow,forest.10,Elev.mean
200005,9,1,5,4,13.5,0,28713.81467,528.6
200008,15,0,10,5,8.6,31,30859.72072,1063.5
200009,10,1,6,4,10.1,0,30897.65826,863.9
200011,11,0,10,2,7.2,45,24446.22968,58.5
200012,13,3,7,4,8.9,20,30097.13899,641.4
200024,15,4,7,5,12,10,9512.418686,65.2
200025,18,3,9,7,11.2,16,24542.69469,742.7
200031,14,2,8,5,14.6,0,22149.46123,127.5
200034,11,1,7,3,5.9,27,30724.98433,1527
200035,10,2,6,3,8.5,25,30187.51516,1129.9
200036,10,2,7,1,8.3,11,28825.91343,939.8
200037,16,3,9,4,8.5,32,25997.3388,887.2
200038,20,4,7,10,9.8,7,14887.28018,680.2
200039,15,2,7,7,15.4,0,10978.58895,32.3
200041,15,3,7,6,8.6,0,30508.29571,1226.7
200043,14,1,11,3,7.4,112,4640.158488,24.4
200046,14,3,6,6,13.8,0,20308.09402,368.8
200047,18,2,7,10,13.6,0,15103.26599,244.5
200048,2,0,2,0,15.1,0,12572.57083,75.6
200050,16,2,9,6,9.2,23,24554.86311,1022.8
